FIPS,f15m_ndays_pctlocal,PctPopUrban,HMI,MedAge,PctWNL,PctMBSA
5089,0.864,0,34494,50.1,95.9,0.219
5091,0.848,0.6,41319,37.2,70.6,0.255
5093,0.318,0.637,36428,34.9,60.5,0.257
5095,0,0.31,27263,44.2,55.8,0.236
5097,0.023,0,31345,46.8,92.8,0.28
5099,0.467,0.308,33694,41.6,65.1,0.224
5101,0.78,0,30038,46,94.8,0.215
5103,0.356,0.436,32015,42.1,56.3,0.257
5105,0.545,0,42455,41.6,93.6,0.244
5107,0.2,0.52,26737,36.9,34.6,0.312
5109,0.212,0,32206,40.2,88.2,0.251
5111,0.3,0.289,32089,39.8,89,0.231
5113,0.702,0.266,32835,43.1,89.8,0.274
5115,0.5,0.455,40453,35.1,86.9,0.278
5117,0.174,0,34855,44.5,85.7,0.266
5119,0.946,0.877,46013,36,55.3,0.395
5121,0.984,0.326,34418,41.9,95.9,0.285
5123,0,0.484,30873,37.2,42.4,0.265
5125,0.944,0.638,55348,38.8,89,0.344
5127,0.247,0.296,37448,39.8,85.3,0.266
5129,0.755,0,30779,46.8,95.2,0.248
5131,0.96,0.792,40471,36.7,72.8,0.301
5133,0.882,0.364,35153,33.7,61.1,0.204
5135,0.705,0.199,30861,47,95,0.275
5137,0.727,0,29832,47.7,96.1,0.318
5139,0.945,0.455,37435,40.1,61.8,0.292
5141,0.569,0,32517,46.6,94.1,0.247
5143,0.688,0.745,41248,30.7,74.1,0.345
5145,0.989,0.457,42487,36,89.6,0.272
5147,0.905,0,28259,43.3,69.4,0.299
5149,0.936,0.209,35535,37.8,76.7,0.194
6001,0.914,0.996,72112,36.6,34.1,0.456
6003,0.522,0,58636,46.7,72.5,0.39
6005,0.504,0.396,53684,48.2,79.6,0.303
6007,0.874,0.811,43752,37.2,75.2,0.338
6009,0.604,0.246,55295,49.2,83.5,0.343
6011,0.716,0.683,52158,33.5,39.8,0.251
6013,0.863,0.992,78756,38.5,47.8,0.423
6015,0.466,0.663,37909,39.1,64.7,0.328
6017,0.542,0.653,69297,43.6,79.9,0.394
6019,0.686,0.892,45563,30.6,32.7,0.285
6021,0.855,0.591,43023,35.3,55.9,0.232
6023,0.581,0.702,41426,37.1,77.2,0.33
6025,0.603,0.826,41807,31.9,13.7,0.239
6027,0.536,0.536,44796,45.6,66.3,0.293
6029,0.793,0.898,48552,30.7,38.6,0.26
6031,0.626,0.891,48133,31.1,35.2,0.249
6033,0.5,0.669,36548,45,74.1,0.277
6035,0.637,0.295,53107,37.1,66.7,0.329
6037,0.873,0.994,55909,34.8,27.8,0.353
6039,0.611,0.671,45625,33,38,0.252
6041,0.717,0.935,90839,44.5,72.8,0.516
6043,0.469,0,49820,49.2,83.2,0.293
6045,0.622,0.548,43469,41.5,68.6,0.287
